Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography
Hanson2016_17,Calydon,Kalydon,Achaea,Greece,3,55 B4,-600,-30,21.532778,38.378056,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_18,Carthaea,Unknown,Achaea,Greece,4 or 5,58 G2,-400,NULL,24.314228,37.542346,Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_19,Cassope,Kamarina,Achaea,Greece,4 or 5,54 C3,-350,-30,20.675916,39.145016,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_20,Chaeronea,Khaironia,Achaea,Greece,3,55 D4,-600,NULL,22.844532,38.494687,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_21,Chalcis,Chalkis,Achaea,Greece,2,55 F4,-800,NULL,23.643172,38.549423,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; Jones 1937; PECS.
Hanson2016_22,Cierium,Mataránga,Achaea,Greece,3,55 C2,-600,NULL,22.075455,39.361088,BNP; DGRG; Hansen and Nielsen 2004; Sear 2006.
Hanson2016_23,Cirrha,Xeropigadi,Achaea,Greece,4 or 5,55 C4,-600,NULL,22.450621,38.428937,Hansen and Nielsen 2004; PECS.
Hanson2016_24,Cleitor,Kato Klitoria,Achaea,Greece,3,58 C2,-600,NULL,22.044647,37.885611,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_25,Corcyra,Analipsi,Achaea,Greece,3,54 A2,-734,NULL,19.91558,39.606285,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,1,58 D2,-44,NULL,22.879795,37.906321,BNP; Boatwright 2000; Brunt 1971; Cornell and Mathews 1982; Golvin 1988; Hansen 2006; Hansen and Nielsen 2004; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.
Hanson2016_27,Coronea,Agios Georgios,Achaea,Greece,3,55 D4,-600,NULL,22.957112,38.391204,BNP; Boatwright 2000; Hansen 2006; Hansen and Nielsen 2004.
Hanson2016_28,Delos,Delos,Achaea,Greece,4 or 5,61 A3,-700,NULL,25.267249,37.398611,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_29,Delphi,Delphi,Achaea,Greece,2,55 D4,-800,NULL,22.5,38.483333,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_30,Demetrias,Volos,Achaea,Greece,2,55 D2,-290,NULL,22.922339,39.343875,BNP; Cohen 1995; DGRG; McEvedy 2011; PECS; Sear 2006.
Hanson2016_31,Dodona,Dodona,Achaea,Greece,4 or 5,54 C2,-400,NULL,20.787767,39.546432,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_32,Dyme,Kato Achaia,Achaea,Greece,3,58 B1,-600,1,21.551426,38.144625,BNP; Brunt 1971; Cornell and Mathews 1982; Hansen and Nielsen 2004; MacMullen 2000; Salmon 1969.
Hanson2016_33,Elateia,Lefta,Achaea,Greece,2,55 D3,-600,NULL,22.764982,38.62635,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_34,Eleusis,Elefsina,Achaea,Greece,3,59 B2,-800,NULL,23.542112,38.04325,BNP; DGRG; Hansen and Nielsen 2004; McEvedy 2011; PECS; Sear 2006.
Hanson2016_35,Elis,Ilida,Achaea,Greece,2,58 A2,-800,NULL,21.435443,37.827452,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_36,Epidaurus,Palaia Epidauros,Achaea,Greece,4 or 5,58 E2,-700,NULL,23.132244,37.626573,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_37,Eretria,Eretria,Achaea,Greece,2,55 F4,-825,NULL,23.793099,38.393743,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_38,Euonymon,Unknown,Achaea,Greece,3,59 B3,-600,NULL,23.737382,37.916867,BNP.
Hanson2016_39,Gonnus,Gonnoussa,Achaea,Greece,3,55 C1,-600,NULL,22.476241,39.860939,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_40,Gythium,Gytheio,Achaea,Greece,3,58 D4,-600,NULL,22.562341,36.763663,Hansen and Nielsen 2004; Sear 2006.
Hanson2016_41,Hadrianopolis (Achaea),Jergucati,Achaea,Albania,4 or 5,54 B2,117,NULL,20.22466,39.996236,DGRG; Sear 2006.
Hanson2016_42,Halae,Unknown,Achaea,Greece,4 or 5,55 E3,-600,NULL,23.193751,38.653765,Hansen 2006; PECS; Sear 2006.
Hanson2016_43,Halus,Othrys,Achaea,Greece,3,55 D2,-323,NULL,22.821215,39.142418,BNP; Hansen and Nielsen 2004; PECS.
Hanson2016_44,Hephaestia,Unknown,Achaea,Greece,4 or 5,56 A2,-600,NULL,25.324204,39.95907,Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_45,Heraclea (Achaea),Unknown,Achaea,Greece,3,55 C3,-600,NULL,22.447577,38.792037,BNP; Hansen and Nielsen 2004; PECS.
Hanson2016_46,Hyampolis,Bogdanou,Achaea,Greece,4 or 5,55 D3,-600,NULL,22.918763,38.594681,BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004.
Hanson2016_47,Ioulis,Unknown,Achaea,Greece,4 or 5,58 G2,-101,NULL,24.34625,37.633122,Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_48,Larisa (Achaea),Unknown,Achaea,Greece,2,55 C1,-600,NULL,22.415092,39.640328,DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_49,Lebadea,Livadhia,Achaea,Greece,3,55 D4,-600,NULL,22.866667,38.433333,BNP; DGRG; Hansen and Nielsen 2004; PECS.
Hanson2016_50,Leucas,Neritus,Achaea,Greece,3,54 C4,-700,NULL,20.713116,38.807342,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_51,Lilaea,Unknown,Achaea,Greece,3,55 D3,-600,NULL,22.509538,38.630415,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_52,Lousoi,Lousoi,Achaea,Greece,4 or 5,58 C2,-600,150,22.116811,37.969025,BNP; Hansen and Nielsen 2004; PECS.
Hanson2016_53,Lycosura,Lykosoura,Achaea,Greece,3,58 C3,-600,NULL,22.031019,37.389722,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_54,Macynia,Paleokastro,Achaea,Greece,4 or 5,55 B4,-600,NULL,21.726328,38.355158,BNP; DGRG; Hansen and Nielsen 2004; Sear 2006.
Hanson2016_55,Mantinea,Mantineia,Achaea,Greece,2,58 C2,-500,NULL,22.405305,37.642803,BNP; Boatwright 2000; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_56,Megalopolis,Sinánu,Achaea,Greece,2,58 C3,-370,150,22.136771,37.40225,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_57,Megara,Megara,Achaea,Greece,2,58 E2,-900,NULL,23.344591,37.994845,Beloch 1886; BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_58,Melos,Unknown,Achaea,Greece,4 or 5,58 G4,-600,NULL,24.420716,36.733024,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_59,Messene,Mavromati,Achaea,Greece,2,58 B3,-369,NULL,22.008029,37.051363,Beloch 1886; BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_60,Methone,Modon,Achaea,Greece,3,58 B4,-600,NULL,23.069231,39.327999,BNP; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_61,Naryca,Rengini,Achaea,Greece,4 or 5,55 D3,-600,117,22.728224,38.717052,BNP; Hansen and Nielsen 2004; PECS.
Hanson2016_62,Naxus,Kastro,Achaea,Greece,4 or 5,61 A3,-600,NULL,25.519984,36.995779,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_63,Nea Pleuron,Pleuron,Achaea,Greece,3,55 A4,-230,NULL,21.41202,38.414861,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_64,Neon,Velitsa,Achaea,Greece,3,55 D3,-600,NULL,22.66757,38.584053,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_65,Nicopolis (Achaea),Palioprevesa,Achaea,Greece,3,54 C3,-30,NULL,20.733395,39.026505,BNP; DGRG; Jones 1937; PECS; Russell 1958; Sear 2006.
Hanson2016_66,Oeniadae,Oiniadai,Achaea,Greece,3,54 D5,-600,NULL,21.212962,38.398985,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_67,Onchesmus,Sarandë,Achaea,Albania,4 or 5,54 B2,-600,NULL,20.000687,39.869988,BNP; DGRG; PECS; Sear 2006.
Hanson2016_68,Orchomenus Arcadicus,Kalpali,Achaea,Greece,3,58 C2,-600,200,22.31536,37.724716,BNP; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_69,Orchomenus Minyeaus,Skripú,Achaea,Greece,2,55 D4,-600,NULL,22.981125,38.493255,BNP; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_70,Oricus,Pascha Liman,Achaea,Albania,4 or 5,49 B3,-600,NULL,19.451817,40.323257,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_71,Oropus,Skala Oropou,Achaea,Greece,3,59 C1,-600,NULL,23.775844,38.320255,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_72,Paeania,Mastru?,Achaea,Greece,3,59 C3,-600,NULL,23.855299,37.958506,BNP; DGRG.
Hanson2016_73,Pallantium,Pallantion,Achaea,Greece,4 or 5,58 C3,-400,NULL,22.336587,37.462155,BNP; DGRG; Hansen and Nielsen 2004; PECS.
Hanson2016_74,Paros,Paroikia,Achaea,Greece,4 or 5,61 A3,-700,NULL,25.146409,37.076431,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_75,Passaron,Radotovi,Achaea,Greece,4 or 5,54 C2,-600,NULL,20.752394,39.733007,DGRG; Hansen and Nielsen 2004; Hansen and Nielsen 2006; PECS.
Hanson2016_76,Patrae,Patrai,Achaea,Greece,2,58 B1,-600,NULL,21.737066,38.254465,BNP; Brunt 1971; Cornell and Mathews 1982; DGRG; Hansen and Nielsen 2004; MacMullen 2000; PECS; Salmon 1969; Sear 2006; Wilson 2011.
Hanson2016_77,Pelinna,Palaiogardiki,Achaea,Greece,4 or 5,55 C1,-400,NULL,21.951944,39.576637,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_78,Pellene,Zougra,Achaea,Greece,3,58 D1,-600,NULL,22.548344,38.043207,BNP; DGRG; Hansen and Nielsen 2004; PECS.
Hanson2016_79,Peparethum,Piperi,Achaea,Greece,3,55 F2,-101,NULL,23.719616,39.119096,BNP; DGRG; Hansen and Nielsen 2004.
Hanson2016_80,Phalanna,Karadjóli,Achaea,Greece,4 or 5,55 C1,-600,NULL,22.193106,39.708507,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_81,Pharsalus,Farsala,Achaea,Greece,3,55 C2,-600,NULL,22.38454,39.293958,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_82,Pheneus,Feneos,Achaea,Greece,3,58 C2,-600,NULL,22.295238,37.919454,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004.
Hanson2016_83,Pherae,Velestino,Achaea,Greece,3,55 D2,-400,NULL,22.753851,39.379043,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_84,Phigalia,Phigaleia,Achaea,Greece,3,58 B3,-600,NULL,21.839109,37.39629,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_85,Phlius,Phlius,Achaea,Greece,3,58 D2,-600,NULL,22.641069,37.831664,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_86,Phoenice,Finike,Achaea,Albania,3,54 B2,-600,NULL,20.057993,39.913158,BNP; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_87,Piraeus,Piraeus,Achaea,Greece,3,59 B3,-600,NULL,23.641103,37.950902,Hansen 2006; McEvedy 2011; PECS; Sear 2006.
Hanson2016_88,Plataea,Plataea,Achaea,Greece,3,55 E4,-600,NULL,23.26689,38.215488,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_89,Proerna,Gythokastro,Achaea,Greece,3,55 C2,-600,NULL,22.297255,39.241243,Hansen and Nielsen 2004; PECS.
Hanson2016_90,Rhamnus,Rhamnous,Achaea,Greece,3,59 D2,-500,NULL,24.028009,38.222727,PECS; Sear 2006.
Hanson2016_91,Scotussa,Suplí,Achaea,Greece,3,55 D2,-600,NULL,22.574579,39.37552,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006; Wilkes 2003b.
Hanson2016_92,Sicyon,Basiliko,Achaea,Greece,2,58 D2,-303,NULL,22.726044,37.9799,BNP; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_93,Sparta,Sparti,Achaea,Greece,2,58 C3,-800,NULL,22.432584,37.074301,Beloch 1886; BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_94,Stratus,Surovigli,Achaea,Greece,3,54 D4,-600,-30,21.31366,38.666849,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; Sear 2006PECS.
Hanson2016_95,Stymphalum,Stymphalos,Achaea,Greece,3,58 C2,-600,NULL,22.45934,37.859281,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_96,Tanagra,Graimadha,Achaea,Greece,3,59 B1,-600,NULL,23.536834,38.32732,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_97,Tegea,Alea,Achaea,Greece,2,58 C3,-600,NULL,22.417226,37.427653,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_98,Teuthrone,Kotrónes,Achaea,Greece,4 or 5,58 C4,-600,NULL,22.489063,36.621145,DGRG; Hansen 2006; PECS.
Hanson2016_99,Thaumacia,Unknown,Achaea,Greece,3,55 C2,-400,NULL,22.321996,39.126554,BNP; DGRG; Hansen and Nielsen 2004; PECS.
Hanson2016_100,Thebae,Thebes,Achaea,Greece,2,55 E4,-800,NULL,23.317799,38.319077,BNP; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_101,Thebae Phthiotides,Nea Anchialos,Achaea,Greece,3,55 D2,-400,-27,22.762344,39.27303,BNP; Cohen 1995; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_102,Thera,Thera,Achaea,Greece,4 or 5,61 A5,-600,NULL,25.474522,36.352514,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_103,Thespiae,Thespiae,Achaea,Greece,3,55 E4,-600,NULL,23.150051,38.302836,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_104,Thisbe,Thisvi,Achaea,Greece,3,55 D4,-600,NULL,22.967793,38.260887,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_105,Thoricus,Velatouri,Achaea,Greece,3,59 D4,-600,1,24.053491,37.737524,BNP; DGRG; PECS; Sear 2006.
Hanson2016_106,Thyrium,Unknown,Achaea,Greece,3,54 C4,-600,NULL,20.980902,38.854918,DGRG; Hansen and Nielsen 2004.
Hanson2016_107,Torybea,Torybeia,Achaea,Greece,4 or 5,54 D4,-600,NULL,21.726328,38.355158,BNP; Hansen 2006; Hansen and Nielsen 2004.
Hanson2016_108,Troezen,Troizina,Achaea,Greece,3,58 E3,-600,NULL,23.362481,37.496574,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_109,Zacynthus,Unknown,Achaea,Greece,4 or 5,54 inset,-800,NULL,20.892091,37.787178,BNP; DGRG; Hansen and Nielsen 2004.
Hanson2016_110,Alexandria (Aegyptus),Alexandria,Aegyptus,Egypt,1,74 B2,-322,NULL,29.903728,31.195024,Beloch 1886; Bowman 2011; Cohen 2006; Humphrey 1986; Johnson 1936; Jones 1937; McEvedy 2011; PECS; Russell 1958; Sear 2006; Wilson 2011.
Hanson2016_111,Antaeopolis,Qaw el Kebir,Aegyptus,Egypt,3,77 F3,-323,NULL,31.517443,26.899283,Bagnall 1993; Jones 1937.
Hanson2016_112,Antinoopolis,Sheikh Abadah,Aegyptus,Egypt,3,77 D1,130,NULL,30.875182,27.81166,Bagnall 1993; BNP; Boatwright 2000; Bowman 2011; DGRG; Humphrey 1986; Jones 1937; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Sear 2006; Wilson 2011.
Hanson2016_113,Aphroditopolis,El Gabalein,Aegyptus,Egypt,3,80 B3,-323,NULL,32.473946,25.369659,Bagnall 1993; BNP; Bowman 2011; DGRG; Jones 1937; PECS; Wilson 2011.
Hanson2016_114,Apollonopolis Magna,Kom Edfu,Aegyptus,Egypt,3,80 B4,-323,NULL,32.873294,24.979536,Bagnall 1993; BNP; Jones 1937; PECS.
Hanson2016_115,Apollonopolis Parva,Kom Isfaht,Aegyptus,Egypt,3,80 B2,-323,NULL,32.710142,25.854554,Bagnall 1993; Jones 1937; Sear 2006.
Hanson2016_116,Arsinoe,Kom F?ris,Aegyptus,Egypt,4 or 5,75 D2,-323,NULL,30.75,29.250001,Bagnall 1993; BNP; Bowman 2011; Cohen 2006; DGRG; Jones 1937; PECS; Quinn and Wilson 2013; Russell 1958; Sear 2006; Wilson 2011.
Hanson2016_117,Athribis,Tell Atrib,Aegyptus,Egypt,3,74 E4,-323,NULL,31.184479,30.47243,BNP; BNP; Bowman 2011; DGRG; Jones 1937; PECS; Wilson 2011.
Hanson2016_118,Bubastis,Tell Basta,Aegyptus,Egypt,4 or 5,74 F3,-323,NULL,31.507263,30.576879,BNP; BNP; Bowman 2011; DGRG; Jones 1937; Wilson 2011.
Hanson2016_119,Busiris,Abu Sir Bana,Aegyptus,Egypt,4 or 5,74 E3,-323,293,31.244444,30.911111,BNP; DGRG; Jones 1937.
Hanson2016_120,Coptos,Kouft,Aegyptus,Egypt,3,80 B1,-323,NULL,32.815787,25.996402,Bagnall 1993; Jones 1937.
Hanson2016_121,Cussae,El Qusiya,Aegyptus,Egypt,4 or 5,77 D2,-323,NULL,30.817992,27.438184,Bagnall 1993.
Hanson2016_122,Cynopolis,Al Quais?,Aegyptus,Egypt,4 or 5,75 D4,-323,NULL,30.782897,28.479496,Bagnall 1993; BNP; Cohen 2006; DGRG; Jones 1937.
Hanson2016_123,Diospolis Inferior,Tell el Balamun,Aegyptus,Egypt,4 or 5,74 F2,-323,NULL,31.566667,31.266667,DGRG.
Hanson2016_124,Diospolis Magna,Thebes,Aegyptus,Egypt,3,80 B2,-323,NULL,32.635592,25.685028,Bagnall 1993; BNP; DGRG; Jones 1937; PECS.
Hanson2016_125,Diospolis Parva,Hiw,Aegyptus,Egypt,3,77 G4,-323,NULL,32.312498,26.016881,Bagnall 1993; BNP.
Hanson2016_126,Elephantine,Aswan,Aegyptus,Egypt,3,80 inset,-323,NULL,32.933333,24.083333,BNP; Bowman 2011; DGRG; PECS; Wilson 2011.
Hanson2016_127,Heliopolis (Aegyptus),El Matariya,Aegyptus,Egypt,3,74 E4,-323,NULL,31.284786,30.131757,BNP; DGRG; Russell 1958.
Hanson2016_128,Heracleopolis Magna,Ehnasya el Medina,Aegyptus,Egypt,3,75 D2,-323,NULL,30.934549,29.08554,Bagnall 1993; BNP; Bowman 2011; DGRG; Jones 1937; Russell 1958; Wilson 2011.
Hanson2016_129,Heracleopolis Parva,Tell Belim,Aegyptus,Egypt,4 or 5,74 G2,-323,NULL,32.167572,30.982139,DGRG.
Hanson2016_130,Hermonthis,Armant,Aegyptus,Egypt,3,80 B2,-323,NULL,32.508054,25.55027,Bagnall 1993; BNP; DGRG; Jones 1937; PECS.
Hanson2016_131,Hermopolis Magna,El Ashmunein,Aegyptus,Egypt,4 or 5,77 D1,-323,NULL,30.803889,27.781389,Bagnall 1993; Bowman 2011; DGRG; PECS; Wilson 2011.
Hanson2016_132,Hermopolis Parva,Unknown,Aegyptus,Egypt,3,74 E3,-323,NULL,30.470783,31.033655,DGRG; Jones 1937.
Hanson2016_133,Heroonpolis,Tell el Maskhuta,Aegyptus,Egypt,4 or 5,74 G3,-323,NULL,32.099207,30.553048,Bowman 2011; DGRG; Wilson 2011.
Hanson2016_134,Hypselis,Shutb,Aegyptus,Egypt,4 or 5,77 E2,-323,NULL,31.234697,27.146592,Bagnall 1993.
Hanson2016_135,Latopolis,Esna,Aegyptus,Egypt,3,80 B3,-323,NULL,32.545454,25.273504,Bagnall 1993; BNP; DGRG; Jones 1937; PECS.
Hanson2016_136,Leontopolis,Tell el Moqdam,Aegyptus,Egypt,4 or 5,74 E3,-323,NULL,31.35,30.683333,BNP; BNP; DGRG; Jones 1937; PECS.
Hanson2016_137,Letopolis,Ausim,Aegyptus,Egypt,3,74 E4,-323,NULL,31.133982,30.122346,BNP; DGRG; PECS?.
Hanson2016_138,Lycopolis,Siout,Aegyptus,Egypt,3,77 E2,-323,NULL,31.183333,27.183333,Bagnall 1993; DGRG; Jones 1937.
Hanson2016_139,Memphis,Kom Rabia,Aegyptus,Egypt,2,75 E1,-323,NULL,31.255061,29.849491,Bagnall 1993; Bowman 2011; Jones 1937; McEvedy 2011; PECS; Russell 1958; Sear 2006; Wilson 2011.
Hanson2016_140,Mendes,Tell el Ruba,Aegyptus,Egypt,3,74 F3,-323,NULL,31.555712,30.966021,BNP; Wilson 2011.
Hanson2016_141,Metelis,Tell Mutubis,Aegyptus,Egypt,4 or 5,74 C2,-323,NULL,30.375411,31.12039,BNP; Jones 1937.
Hanson2016_142,Nilopolis,Medinet el Fayum,Aegyptus,Egypt,-,-,-323,NULL,30.84285,29.308402,Bagnall 1993.
Hanson2016_143,Ombos,Kom Ombo,Aegyptus,Egypt,3,80 B5,-323,NULL,33.512263,25.729386,Bagnall 1993; BNP; DGRG; Jones 1937; PECS.
Hanson2016_144,Oxyrhynchus,El Bahnasa,Aegyptus,Egypt,3,75 D3,-323,NULL,30.655336,28.535969,Bagnall 1993; BNP; Bowman 2011; Jones 1937; PECS; Quinn and Wilson 2013; Russell 1958; Sear 2006; Wilson 2011.
Hanson2016_145,Panopolis,Akhmim,Aegyptus,Egypt,4 or 5,77 F3,-323,NULL,31.75,26.566667,Bagnall 1993; BNP; DGRG; Jones 1937; Sear 2006.
Hanson2016_146,Pelusium,Tell el Farama,Aegyptus,Egypt,2,74 H2,-323,NULL,32.600128,31.049917,BNP; DGRG; Jones 1937.
Hanson2016_147,Phacus,Faqus,Aegyptus,Egypt,-,-,-323,NULL,31.672165,30.720511,BNP.
Hanson2016_148,Ptolemais (Aegyptus),El Manshah,Aegyptus,Egypt,3,77 F4,-323,NULL,31.8,26.483333,BNP; Bowman 2011; Cohen 2006; DGRG; PECS; Sear 2006; Wilson 2011.
Hanson2016_149,Sais,Sa el Hagar,Aegyptus,Egypt,3,74 D3,-323,NULL,30.768333,30.964722,BNP; DGRG; Jones 1937.
Hanson2016_150,Sebennytus,Samann?d,Aegyptus,Egypt,3,74 E3,-323,NULL,31.241003,30.960661,BNP; DGRG?; Jones 1937.
Hanson2016_151,Tanis,San el Hagar,Aegyptus,Egypt,3,74 F2,-323,NULL,31.874266,30.975841,BNP; Bowman 2011; DGRG; Jones 1937; Wilson 2011.
